0,1,2,3,4,5,6,7,8,9,10,11,12
"[46.0, 'O', 0.1059131200000003, 1.9822971500000008, -1.800120360000001]","[76.0, 'O', -2.7218885299999975, -0.738660969999998, 0.46958661000000035]","[105.0, 'H', 2.125304670000002, 0.7977884700000004, 1.8005730900000003]","[145.0, 'O', 1.2272009800000028, -2.3374291300000003, -0.10653223999999994]","[146.0, 'H', 0.9026155299999985, -1.3819333500000006, -0.10921678000000057]","[149.0, 'H', -0.939609609999998, -0.2846625500000002, 0.09519999000000112]","[150.0, 'H', -0.00781518999999875, 0.6999569000000001, -0.7053096799999992]","[183.0, 'H', 0.23007729000000054, 2.49637435, 1.4018656500000013]",,,,,
"[12.0, 'H', -1.7497599699999995, 0.6087547200000003, 1.7272259999999982]","[76.0, 'O', -1.7822789199999995, -0.4539984199999978, 0.3743866199999992]","[77.0, 'H', -2.1022517799999996, -1.35533298, 0.656678399999997]","[78.0, 'H', -2.535908120000002, -0.12558844999999863, -0.18767575000000036]","[145.0, 'O', 2.1668105900000008, -2.05276658, -0.20173223000000107]","[146.0, 'H', 1.8422251399999965, -1.0972708000000004, -0.2044167700000017]","[148.0, 'O', 0.939609609999998, 0.2846625500000002, -0.09519999000000112]","[150.0, 'H', 0.9317944199999992, 0.9846194500000003, -0.8005096700000003]",,,,,
"[27.0, 'H', 1.904054519999999, 0.9326089199999998, -1.03048772]","[46.0, 'O', 0.11372830999999906, 1.2823402500000007, -1.094810680000002]","[47.0, 'H', 0.08023633999999902, 1.02748257, -2.0495983100000004]","[48.0, 'H', -0.5847102299999989, 1.981281580000001, -0.9596400500000009]","[146.0, 'H', 0.9104307199999973, -2.0818902500000007, 0.5960928999999986]","[148.0, 'O', 0.00781518999999875, -0.6999569000000001, 0.7053096799999992]","[149.0, 'H', -0.9317944199999992, -0.9846194500000003, 0.8005096700000003]","[183.0, 'H', 0.2378924799999993, 1.7964174499999999, 2.1071753300000005]",,,,,
"[52.0, 'O', 1.4344682300000002, 2.1704759399999993, 0.28279301999999973]","[54.0, 'H', 0.8745492400000003, 1.3550282299999985, 0.21288260000000037]","[152.0, 'H', -0.9551339700000021, 0.08941856999999942, 0.31315112999999783]","[153.0, 'H', 0.16738236000000128, -0.9540396000000015, -0.08816050000000075]",,,,,,,,,
"[54.0, 'H', 1.8296832100000024, 1.265609659999999, -0.10026852999999747]","[151.0, 'O', 0.9551339700000021, -0.08941856999999942, -0.31315112999999783]","[153.0, 'H', 1.1225163300000034, -1.043458170000001, -0.4013116299999986]",,,,,,,,,,
"[54.0, 'H', 0.707166879999999, 2.30906783, 0.3010431000000011]","[151.0, 'O', -0.16738236000000128, 0.9540396000000015, 0.08816050000000075]","[152.0, 'H', -1.1225163300000034, 1.043458170000001, 0.4013116299999986]",,,,,,,,,,
"[10.0, 'O', -2.0618937200000005, 0.3875074500000011, -1.6995560900000015]","[155.0, 'H', -0.7508174500000031, 0.1250925099999982, -0.6469574300000005]","[156.0, 'H', 0.46600919999999846, 0.8811748399999999, 0.10046458000000058]","[178.0, 'O', 1.7049927899999986, -2.05276306, -0.56642832]","[179.0, 'H', 1.0637868200000007, -1.3094488099999992, -0.37849780999999894]",,,,,,,,
"[10.0, 'O', -1.3110762699999974, 0.26241494000000287, -1.052598660000001]","[11.0, 'H', -2.156194469999999, 0.20850317000000018, -0.5347980700000008]","[12.0, 'H', -1.3729801099999968, -0.4545235699999992, -1.7574722999999999]","[17.0, 'H', -0.7627739799999986, 1.6141190900000026, -1.99768422]","[154.0, 'O', 0.7508174500000031, -0.1250925099999982, 0.6469574300000005]","[156.0, 'H', 1.2168266500000016, 0.7560823300000017, 0.7474220100000011]","[179.0, 'H', 1.8146042700000038, -1.4345413199999975, 0.26845962000000156]",,,,,,
"[154.0, 'O', -0.46600919999999846, -0.8811748399999999, -0.10046458000000058]","[155.0, 'H', -1.2168266500000016, -0.7560823300000017, -0.7474220100000011]","[179.0, 'H', 0.5977776200000022, -2.190623649999999, -0.4789623899999995]","[181.0, 'O', 1.23631696, 0.8318172600000011, -2.5461387]","[182.0, 'H', 1.15353554, 1.152174800000001, -1.6053249600000008]",,,,,,,,
"[59.0, 'H', -0.5615790800000013, 2.001646909999998, -1.8325840599999985]","[70.0, 'O', 2.245724150000001, 1.1256406099999978, -1.6050804299999974]","[106.0, 'O', 0.9317907000000005, -1.5895112800000035, 1.9751243600000024]","[109.0, 'O', -1.3206790099999992, 2.3567676299999967, 0.5562452499999999]","[110.0, 'H', -0.9717807399999998, 1.4345531599999966, 0.4737061400000009]","[142.0, 'O', -1.7071482600000003, -1.877545180000002, -1.22248583]","[143.0, 'H', -1.034466130000002, -1.2689079200000002, -0.8290515099999993]","[158.0, 'H', 0.825114499999998, 0.3324787299999983, -0.4308555699999985]","[159.0, 'H', 0.33089213999999956, -0.5184039400000025, 0.7934151200000024]",,,,
"[58.0, 'O', -0.8444386699999988, 1.7448769599999991, -2.2119419700000016]","[59.0, 'H', -1.3866935799999993, 1.6691681799999998, -1.40172849]","[62.0, 'H', 1.902443230000003, -0.7045107599999945, -2.0332782400000013]","[70.0, 'O', 1.420609650000003, 0.7931618799999995, -1.174224859999999]","[71.0, 'H', 0.7251912600000026, 1.2999437500000006, -1.6661721100000015]","[72.0, 'H', 2.087380070000002, 1.4753068800000015, -0.8920266699999999]","[110.0, 'H', -1.7968952399999978, 1.1020744299999983, 0.9045617099999994]","[143.0, 'H', -1.85958063, -1.6013866499999985, -0.3981959400000008]","[157.0, 'O', -0.825114499999998, -0.3324787299999983, 0.4308555699999985]","[159.0, 'H', -0.4942223599999984, -0.8508826700000007, 1.2242706900000009]",,,
"[15.0, 'H', 0.8845669799999953, 2.155602730000002, 1.852273099999998]","[106.0, 'O', 0.600898560000001, -1.071107340000001, 1.18170924]","[107.0, 'H', 0.6597072600000011, -1.9740555299999976, 0.7454926200000003]","[108.0, 'H', 0.20933562000000094, -1.218240080000001, 2.056587799999999]","[110.0, 'H', -1.3026728799999994, 1.952957099999999, -0.3197089800000015]","[128.0, 'H', -2.4661492600000017, -0.023541099999999204, 1.3796674599999967]","[143.0, 'H', -1.3653582700000015, -0.7505039799999977, -1.6224666300000017]","[157.0, 'O', -0.33089213999999956, 0.5184039400000025, -0.7934151200000024]","[158.0, 'H', 0.4942223599999984, 0.8508826700000007, -1.2242706900000009]",,,,
"[4.0, 'O', -2.077523969999998, -1.6156231700000028, 0.2774173900000001]","[25.0, 'O', -0.28239357999999726, 1.7858216599999999, 2.062705870000002]","[26.0, 'H', -0.17075772999999828, 1.0859936099999992, 1.3526040200000011]","[64.0, 'O', 2.061108820000001, -1.522923930000001, 1.0235482100000013]","[74.0, 'H', -1.4420940699999996, 1.6021559100000005, -0.6079657199999993]","[161.0, 'H', -0.77751065, -0.6231580300000026, 0.11412642000000162]","[162.0, 'H', 0.7791955399999999, -0.5282460800000024, 0.3294216200000015]","[167.0, 'H', 0.3497444999999999, -1.0592996400000025, -2.6913760300000007]","[168.0, 'H', 1.5582109400000022, -0.3056785099999999, -2.0754032199999983]",,,,
"[4.0, 'O', -1.300013319999998, -0.9924651400000002, 0.16329096999999848]","[5.0, 'H', -1.6444140699999998, -0.8795612799999972, 1.0677646599999981]","[6.0, 'H', -0.8546471899999979, -1.8918837899999978, 0.16599322000000072]","[26.0, 'H', 0.6067529200000017, 1.7091516400000017, 1.2384775999999995]","[74.0, 'H', -0.6645834199999996, 2.225313940000003, -0.7220921400000009]","[160.0, 'O', 0.77751065, 0.6231580300000026, -0.11412642000000162]","[162.0, 'H', 1.5567061899999999, 0.09491195000000019, 0.2152951999999999]","[185.0, 'H', -0.8773777199999984, -1.1796299999999995, -2.0292585500000015]",,,,,
"[26.0, 'H', -0.9499532699999982, 1.6142396900000016, 1.0231823999999996]","[64.0, 'O', 1.2819132800000013, -0.9946778499999986, 0.6941265899999998]","[65.0, 'H', 0.8553804700000001, -1.55563055, 1.3941630499999995]","[66.0, 'H', 1.6698993800000004, -1.6321649299999983, 0.06631279999999862]","[160.0, 'O', -0.7791955399999999, 0.5282460800000024, -0.3294216200000015]","[161.0, 'H', -1.5567061899999999, -0.09491195000000019, -0.2152951999999999]","[168.0, 'H', 0.7790154000000022, 0.2225675700000025, -2.40482484]",,,,,,
"[58.0, 'O', 1.3950332299999992, -1.97706157, 1.3031161499999975]","[60.0, 'H', 0.9888907299999978, -1.1968952000000002, 0.8218586499999994]","[100.0, 'O', 1.487834539999998, 2.3382565500000005, -0.8513446699999996]","[102.0, 'H', 0.9658901499999999, 1.575147010000002, -0.500935290000001]","[164.0, 'H', -0.5248117500000014, -0.44649433000000016, -0.7219934000000023]","[165.0, 'H', -0.6432415700000007, 0.31184800000000124, 0.6779216499999983]","[187.0, 'O', -1.3162869199999996, -1.4082072799999992, -1.9807728000000004]",,,,,,
"[33.0, 'H', 2.1190162500000014, -1.6530412000000005, -1.215769439999999]","[60.0, 'H', 1.5137024799999992, -0.75040087, 1.5438520500000017]","[102.0, 'H', 1.4907019000000012, 2.021641340000002, 0.2210581100000013]","[163.0, 'O', 0.5248117500000014, 0.44649433000000016, 0.7219934000000023]","[165.0, 'H', -0.11842981999999935, 0.7583423300000014, 1.3999150500000006]","[187.0, 'O', -0.7914751699999982, -0.961712949999999, -1.258779399999998]","[188.0, 'H', -0.3291157300000016, -0.761219999999998, -2.1102454199999983]","[189.0, 'H', -0.5274265599999985, -1.8687369499999988, -1.0214039499999998]",,,,,
"[60.0, 'H', 1.6321322999999985, -1.5087432000000014, 0.1439370000000011]","[78.0, 'H', 1.2002998299999987, 0.6700189999999999, 2.613349930000002]","[102.0, 'H', 1.6091317200000006, 1.2632990100000008, -1.1788569399999993]","[163.0, 'O', 0.6432415700000007, -0.31184800000000124, -0.6779216499999983]","[164.0, 'H', 0.11842981999999935, -0.7583423300000014, -1.3999150500000006]",,,,,,,,
"[167.0, 'H', -0.7741275900000026, -0.577178810000003, 0.23762346999999906]","[168.0, 'H', 0.4343388499999996, 0.1764423199999996, 0.8535962800000014]","[184.0, 'O', -2.180819500000002, -1.5896382200000012, 0.28856619000000094]",,,,,,,,,,
"[160.0, 'O', -0.3497444999999999, 1.0592996400000025, 2.6913760300000007]","[166.0, 'O', 0.7741275900000026, 0.577178810000003, -0.23762346999999906]","[168.0, 'H', 1.2084664400000023, 0.7536211300000026, 0.6159728100000024]","[184.0, 'O', -1.4066919099999993, -1.0124594099999982, 0.050942720000001884]","[185.0, 'H', -2.0046328699999982, -0.7434883899999996, 0.7762439000000008]","[186.0, 'H', -1.5719909599999973, -1.9933776600000002, -0.08102285000000009]",,,,,,,
"[160.0, 'O', -1.5582109400000022, 0.3056785099999999, 2.0754032199999983]","[162.0, 'H', -0.7790154000000022, -0.2225675700000025, 2.40482484]","[166.0, 'O', -0.4343388499999996, -0.1764423199999996, -0.8535962800000014]","[167.0, 'H', -1.2084664400000023, -0.7536211300000026, -0.6159728100000024]",,,,,,,,,
"[112.0, 'O', -0.747311609999997, -2.5365446899999995, -1.031082340000001]","[115.0, 'O', -2.7310297399999968, -0.08588635999999994, 0.57552673]","[116.0, 'H', -2.606694349999998, -1.0063011599999996, 0.9488410300000005]","[170.0, 'H', -0.8943225299999966, 0.33635247000000135, 0.2522139199999991]","[171.0, 'H', -0.25004058999999756, -0.899800840000001, -0.32851259000000255]",,,,,,,,
"[92.0, 'H', -1.0443400200000035, 2.276131979999999, 0.8138170199999983]","[115.0, 'O', -1.8367072100000001, -0.4222388300000013, 0.3233128100000009]","[116.0, 'H', -1.7123718200000013, -1.342653630000001, 0.6966271100000014]","[117.0, 'H', -2.032273120000003, 0.14936106999999765, 1.1113937999999983]","[169.0, 'O', 0.8943225299999966, -0.33635247000000135, -0.2522139199999991]","[171.0, 'H', 0.644281939999999, -1.2361533100000024, -0.5807265100000016]",,,,,,,
"[29.0, 'H', -1.146300870000001, -0.8365053699999976, -2.1481738399999983]","[86.0, 'H', -0.42944604999999925, -1.3777071999999997, 2.573242590000003]","[112.0, 'O', -0.49727101999999945, -1.6367438499999984, -0.7025697499999985]","[113.0, 'H', -1.1575829900000016, -2.3642986199999996, -0.5394073699999993]","[114.0, 'H', 0.40450355999999843, -2.019454579999998, -0.5358307299999971]","[115.0, 'O', -2.480989149999999, 0.8139144800000011, 0.9040393200000025]","[116.0, 'H', -2.3566537600000004, -0.10650031999999854, 1.277353620000003]","[169.0, 'O', 0.25004058999999756, 0.899800840000001, 0.32851259000000255]","[170.0, 'H', -0.644281939999999, 1.2361533100000024, 0.5807265100000016]",,,,
"[22.0, 'O', 1.3271597799999988, -0.8353727199999987, 2.4433776199999997]","[91.0, 'O', 1.3226674299999992, 1.61272971, -1.9745151099999987]","[92.0, 'H', 0.8891159799999961, 0.82843673, -1.5779643400000012]","[93.0, 'H', 1.9222170499999969, 1.910101430000001, -1.2313401999999982]","[115.0, 'O', 0.09674878999999947, -1.8699340800000002, -2.0684685499999986]","[117.0, 'H', -0.0988171200000032, -1.2983341800000012, -1.2803875600000012]","[147.0, 'H', -0.42915231000000276, 2.4357163300000018, -1.625414580000001]","[173.0, 'H', 0.46323768999999615, -0.3305471400000002, 0.8051143300000021]","[174.0, 'H', -0.8539343400000021, 0.37102945000000176, 0.3352183900000014]","[175.0, 'O', -2.528832150000003, 1.3214045500000005, 0.846723149999999]","[177.0, 'H', -2.4200389400000013, 1.699762370000002, -0.05408191999999801]",,
"[22.0, 'O', 0.8639220900000026, -0.5048255799999986, 1.6382632899999976]","[23.0, 'H', 1.2415219500000028, -1.413662219999999, 1.6111461699999978]","[24.0, 'H', 1.618354740000001, 0.12706620999999885, 1.6557225399999993]","[92.0, 'H', 0.42587829, 1.1589838700000001, -2.3830786700000033]","[117.0, 'H', -0.5620548099999993, -0.967787040000001, -2.0855018900000033]","[172.0, 'O', -0.46323768999999615, 0.3305471400000002, -0.8051143300000021]","[174.0, 'H', -1.3171720299999983, 0.7015765900000019, -0.4698959400000007]","[191.0, 'H', -0.6051418299999973, -0.2570429499999989, 2.761066190000001]",,,,,
"[92.0, 'H', 1.7430503199999983, 0.4574072799999982, -1.9131827300000026]","[117.0, 'H', 0.7551172199999989, -1.669363630000003, -1.6156059500000026]","[145.0, 'O', -0.5547086099999987, 2.0836550099999975, -1.8507989400000007]","[147.0, 'H', 0.42478202999999937, 2.06468688, -1.9606329700000025]","[172.0, 'O', 0.8539343400000021, -0.37102945000000176, -0.3352183900000014]","[173.0, 'H', 1.3171720299999983, -0.7015765900000019, 0.4698959400000007]","[175.0, 'O', -1.674897810000001, 0.9503750999999987, 0.5115047599999976]","[176.0, 'H', -1.3116044900000006, 1.6902763199999988, 1.0792221300000016]","[177.0, 'H', -1.5661045999999992, 1.3287329200000002, -0.3893003099999994]",,,,
"[13.0, 'O', -2.263144269999998, -0.37179206000000065, 1.599103460000002]","[15.0, 'H', -1.5097712500000036, -0.33862742999999895, 0.9520831100000002]","[145.0, 'O', 1.1201892000000022, 1.1332799099999988, -2.3623036999999982]","[172.0, 'O', 2.528832150000003, -1.3214045500000005, -0.846723149999999]","[174.0, 'H', 1.674897810000001, -0.9503750999999987, -0.5115047599999976]","[176.0, 'H', 0.36329332000000036, 0.7399012200000001, 0.567717370000004]","[177.0, 'H', 0.10879321000000175, 0.3783578200000015, -0.900805069999997]","[178.0, 'O', 1.0324089900000004, 2.07146921, 1.4046559400000014]",,,,,
"[15.0, 'H', -1.873064570000004, -1.078528649999999, 0.38436573999999624]","[104.0, 'H', 1.8519124799999993, 2.1936490100000015, -0.22795549000000292]","[174.0, 'H', 1.3116044900000006, -1.6902763199999988, -1.0792221300000016]","[175.0, 'O', -0.36329332000000036, -0.7399012200000001, -0.567717370000004]","[177.0, 'H', -0.2545001099999986, -0.3615433999999986, -1.468522440000001]","[178.0, 'O', 0.66911567, 1.33156799, 0.8369385699999974]","[179.0, 'H', 0.027909700000002147, 2.074882240000001, 1.0248690799999984]","[180.0, 'H', 0.9769876500000017, 0.9902441300000007, 1.7182771799999976]",,,,,
"[15.0, 'H', -1.6185644600000053, -0.7169852500000005, 1.8528881799999972]","[70.0, 'O', -0.5882994299999993, -1.228543430000002, -2.3978804700000005]","[72.0, 'H', 0.07847098999999957, -0.54639843, -2.1156822800000015]","[145.0, 'O', 1.0113959900000005, 0.7549220899999973, -1.4614986300000012]","[146.0, 'H', 0.6868105399999962, 1.710417869999997, -1.4641831700000019]","[147.0, 'H', 1.9908866299999985, 0.7359539599999998, -1.571332660000003]","[172.0, 'O', 2.4200389400000013, -1.699762370000002, 0.05408191999999801]","[174.0, 'H', 1.5661045999999992, -1.3287329200000002, 0.3893003099999994]","[175.0, 'O', -0.10879321000000175, -0.3783578200000015, 0.900805069999997]","[176.0, 'H', 0.2545001099999986, 0.3615433999999986, 1.468522440000001]",,,
"[103.0, 'O', 1.6900787299999998, 1.6004909100000013, -1.4985092500000015]","[104.0, 'H', 1.1827968099999993, 0.8620810200000015, -1.0648940600000003]","[154.0, 'O', -1.7049927899999986, 2.05276306, 0.56642832]","[175.0, 'O', -1.0324089900000004, -2.07146921, -1.4046559400000014]","[176.0, 'H', -0.66911567, -1.33156799, -0.8369385699999974]","[179.0, 'H', -0.6412059699999979, 0.743314250000001, 0.18793051000000105]","[180.0, 'H', 0.3078719800000016, -0.34132385999999926, 0.8813386100000002]",,,,,,
"[104.0, 'H', 1.8240027799999972, 0.11876677000000058, -1.2528245700000014]","[105.0, 'H', 1.627089869999999, 1.4537140499999985, -2.0477848200000004]","[154.0, 'O', -1.0637868200000007, 1.3094488099999992, 0.37849780999999894]","[155.0, 'H', -1.8146042700000038, 1.4345413199999975, -0.26845962000000156]","[156.0, 'H', -0.5977776200000022, 2.190623649999999, 0.4789623899999995]","[176.0, 'H', -0.027909700000002147, -2.074882240000001, -1.0248690799999984]","[178.0, 'O', 0.6412059699999979, -0.743314250000001, -0.18793051000000105]","[180.0, 'H', 0.9490779499999995, -1.0846381100000002, 0.6934080999999992]",,,,,
"[104.0, 'H', 0.8749248299999977, 1.2034048800000008, -1.9462326700000006]","[176.0, 'H', -0.9769876500000017, -0.9902441300000007, -1.7182771799999976]","[178.0, 'O', -0.3078719800000016, 0.34132385999999926, -0.8813386100000002]","[179.0, 'H', -0.9490779499999995, 1.0846381100000002, -0.6934080999999992]",,,,,,,,,
"[16.0, 'O', -2.6309761199999997, 0.7447991599999995, -0.5617321299999993]","[49.0, 'O', 1.9819808499999994, 0.9357088899999972, -1.4084872600000011]","[50.0, 'H', 2.041334410000001, 0.20604670999999897, -2.063651010000001]","[51.0, 'H', 1.2024924000000006, 0.666177789999999, -0.8206691399999997]","[103.0, 'O', 1.69274536, -2.16526425, 0.3807365499999982]","[105.0, 'H', 0.9885505300000013, -1.5687268600000017, 0.01939149000000029]","[156.0, 'H', -1.23631696, -0.8318172600000011, 2.5461387]","[182.0, 'H', -0.08278141999999988, 0.32035753999999983, 0.9408137399999994]","[183.0, 'H', -0.9066768500000002, 0.12985901999999783, -0.37931594999999874]",,,,
"[16.0, 'O', -2.5481947, 0.42444161999999963, -1.5025458699999987]","[38.0, 'H', 2.031336890000002, -1.61780246, 0.9952292899999975]","[51.0, 'H', 1.2852738200000005, 0.34582024999999916, -1.761482879999999]","[105.0, 'H', 1.0713319500000011, -1.8890844000000016, -0.9214222499999991]","[156.0, 'H', -1.15353554, -1.152174800000001, 1.6053249600000008]","[181.0, 'O', 0.08278141999999988, -0.32035753999999983, -0.9408137399999994]","[183.0, 'H', -0.8238954300000003, -0.190498520000002, -1.3201296899999981]",,,,,,
"[16.0, 'O', -1.7242992699999995, 0.6149401400000016, -0.1824161800000006]","[17.0, 'H', -2.30924074, -0.10363951999999799, 0.18034841999999784]","[18.0, 'H', -2.0052612299999986, 0.854743580000001, -1.101689290000003]","[51.0, 'H', 2.1091692500000008, 0.5363187700000012, -0.44135319000000095]","[105.0, 'H', 1.8952273800000015, -1.6985858799999995, 0.398707439999999]","[148.0, 'O', -0.23007729000000054, -2.49637435, -1.4018656500000013]","[150.0, 'H', -0.2378924799999993, -1.7964174499999999, -2.1071753300000005]","[181.0, 'O', 0.9066768500000002, -0.12985901999999783, 0.37931594999999874]","[182.0, 'H', 0.8238954300000003, 0.190498520000002, 1.3201296899999981]",,,,
"[166.0, 'O', 2.180819500000002, 1.5896382200000012, -0.28856619000000094]","[167.0, 'H', 1.4066919099999993, 1.0124594099999982, -0.050942720000001884]","[185.0, 'H', -0.597940959999999, 0.2689710199999986, 0.7253011799999989]","[186.0, 'H', -0.165299049999998, -0.980918250000002, -0.13196557000000197]",,,,,,,,,
"[4.0, 'O', -0.42263559999999956, 0.18716485999999932, 2.19254952]","[6.0, 'H', 0.02273053000000047, -0.7122537899999983, 2.1952517700000023]","[79.0, 'O', -2.2095004399999993, 1.8887089100000019, -0.06681679000000074]","[80.0, 'H', -2.5593141700000004, 0.9601592100000005, -0.008235580000000908]","[88.0, 'O', 0.8007403099999983, -2.1641581899999984, 1.9051709000000017]","[90.0, 'H', 0.32059302000000045, -2.6430557499999985, 1.2025198199999991]","[161.0, 'H', 0.8773777199999984, 1.1796299999999995, 2.0292585500000015]","[167.0, 'H', 2.0046328699999982, 0.7434883899999996, -0.7762439000000008]","[184.0, 'O', 0.597940959999999, -0.2689710199999986, -0.7253011799999989]","[186.0, 'H', 0.43264191000000096, -1.2498892700000006, -0.8572667500000009]",,,
"[88.0, 'O', 0.3680983999999974, -0.9142689199999978, 2.7624376500000025]","[89.0, 'H', 1.2872115799999975, -0.9608400999999986, 2.41931031]","[90.0, 'H', -0.11204889000000051, -1.3931664799999979, 2.05978657]","[167.0, 'H', 1.5719909599999973, 1.9933776600000002, 0.08102285000000009]","[184.0, 'O', 0.165299049999998, 0.980918250000002, 0.13196557000000197]","[185.0, 'H', -0.43264191000000096, 1.2498892700000006, 0.8572667500000009]",,,,,,,
"[33.0, 'H', 2.9104914199999996, -0.6913282500000015, 0.043009959999999126]","[163.0, 'O', 1.3162869199999996, 1.4082072799999992, 1.9807728000000004]","[164.0, 'H', 0.7914751699999982, 0.961712949999999, 1.258779399999998]","[188.0, 'H', 0.4623594399999966, 0.200492950000001, -0.8514660200000002]","[189.0, 'H', 0.2640486099999997, -0.9070239999999998, 0.23737544999999827]",,,,,,,,
"[33.0, 'H', 2.448131980000003, -0.8918212000000025, 0.8944759799999993]","[164.0, 'H', 0.3291157300000016, 0.761219999999998, 2.1102454199999983]","[187.0, 'O', -0.4623594399999966, -0.200492950000001, 0.8514660200000002]","[189.0, 'H', -0.19831082999999694, -1.1075169500000008, 1.0888414699999984]",,,,,,,,,
"[33.0, 'H', 2.64644281, 0.2156957499999983, -0.19436548999999914]","[55.0, 'O', -0.7344652300000014, -1.6414714100000012, 1.5473867700000028]","[57.0, 'H', -1.4546893700000005, -1.7152944800000007, 0.8676258800000021]","[121.0, 'O', 1.8926752100000002, -1.4512334100000004, 0.892809500000002]","[122.0, 'H', 2.214790479999998, -0.9746835199999992, 1.6962720000000004]","[123.0, 'H', 0.943393829999998, -1.6615837199999994, 1.1275477500000015]","[164.0, 'H', 0.5274265599999985, 1.8687369499999988, 1.0214039499999998]","[187.0, 'O', -0.2640486099999997, 0.9070239999999998, -0.23737544999999827]","[188.0, 'H', 0.19831082999999694, 1.1075169500000008, -1.0888414699999984]",,,,
"[22.0, 'O', 2.16572944, -0.4657753999999983, -1.783730300000002]","[191.0, 'H', 0.6966655199999998, -0.21799276999999861, -0.6609273999999985]","[192.0, 'H', -0.6889453300000028, -0.7113166399999997, -0.10690950000000043]",,,,,,,,,,
"[22.0, 'O', 1.46906392, -0.24778262999999967, -1.1228029000000035]","[23.0, 'H', 1.84666378, -1.1566192700000002, -1.1499200200000033]","[24.0, 'H', 2.2234965699999982, 0.38410915999999773, -1.1053436500000018]","[173.0, 'H', 0.6051418299999973, 0.2570429499999989, -2.761066190000001]","[190.0, 'O', -0.6966655199999998, 0.21799276999999861, 0.6609273999999985]","[192.0, 'H', -1.3856108500000026, -0.4933238700000011, 0.5540178999999981]",,,,,,,
"[134.0, 'H', -0.5254194699999992, -2.8441978699999986, -0.6829576599999996]","[190.0, 'O', 0.6889453300000028, 0.7113166399999997, 0.10690950000000043]","[191.0, 'H', 1.3856108500000026, 0.4933238700000011, -0.5540178999999981]",,,,,,,,,,
